bucket,sex,race,overall,position,letter,count
UNDER65,f,UNKRACE,0,5,C,1613
UNDER65,f,UNKRACE,0,5,N,6957
UNDER65,f,UNKRACE,0,5,U,2692
UNDER65,f,UNKRACE,0,5,X,1043
UNDER65,f,UNKRACE,0,5,A,1465
UNDER65,f,UNKRACE,0,5,F,637
UNDER65,f,UNKRACE,0,5,P,1018
UNDER65,f,UNKRACE,0,5,S,458
UNDER65,f,UNKRACE,0,5,H,40
UNDER65,f,UNKRACE,0,6,D,670
UNDER65,f,UNKRACE,0,6,X,337
UNDER65,f,UNKRACE,0,6,E,1259
UNDER65,f,UNKRACE,0,6,U,832
UNDER65,f,UNKRACE,0,6,B,921
