scheme,bucket,sex,race,letter,weight
1,75-84,m,UNKRACE,F,12761.0
1,75-84,m,UNKRACE,H,220.0
1,75-84,m,UNKRACE,P,1537.0
1,PLUS65,m,UNKRACE,S,112420.0
1,PLUS65,m,UNKRACE,N,1490828.0
1,PLUS65,m,UNKRACE,B,2909820.0
1,PLUS65,m,UNKRACE,C,1845676.0
1,PLUS65,m,UNKRACE,D,199969.0
1,PLUS65,m,UNKRACE,R,1033262.0
1,PLUS65,m,UNKRACE,X,34156.0
1,PLUS65,m,UNKRACE,A,31204.0
1,PLUS65,m,UNKRACE,T,72517.0
1,PLUS65,m,UNKRACE,E,276489.0
1,PLUS65,m,UNKRACE,P,6442.0
1,PLUS65,m,UNKRACE,U,19107.0
1,PLUS65,m,UNKRACE,F,32135.0
1,PLUS65,m,UNKRACE,H,697.0
2,75-84,m,UNKRACE,S,33937.776388891645
2,75-84,m,UNKRACE,T,31965.58392857679
2,75-84,m,UNKRACE,C,637066.0632935687
2,75-84,m,UNKRACE,B,1064697.9859103677
2,75-84,m,UNKRACE,D,79186.26865079351
2,75-84,m,UNKRACE,N,716300.3948404522
2,75-84,m,UNKRACE,R,451786.5345244937
2,75-84,m,UNKRACE,U,12902.594246030252
2,75-84,m,UNKRACE,E,163099.3632936228
2,75-84,m,UNKRACE,A,7404.558333333798
2,75-84,m,UNKRACE,X,13310.946626983166
2,75-84,m,UNKRACE,F,13906.726984126066
2,75-84,m,UNKRACE,H,603.8333333333337
2,75-84,m,UNKRACE,P,1317.3696428571434
2,PLUS65,m,UNKRACE,S,89062.16964287957
2,PLUS65,m,UNKRACE,T,83098.98194446137
2,PLUS65,m,UNKRACE,N,1819322.919651925
2,PLUS65,m,UNKRACE,R,1085401.7087265344
2,PLUS65,m,UNKRACE,B,2721871.20118601
2,PLUS65,m,UNKRACE,C,1524651.520041532
2,PLUS65,m,UNKRACE,D,203918.29900777581
2,PLUS65,m,UNKRACE,E,399902.8468263933
2,PLUS65,m,UNKRACE,X,34302.75019841791
2,PLUS65,m,UNKRACE,A,27581.88968254333
2,PLUS65,m,UNKRACE,U,32337.952976205146
